LGA,date,AETI_mm_day
Ajingi,2024-01-01,0.536210708289699
Albasu,2024-01-01,0.4836640991544773
Bagwai,2024-01-01,0.606096462249985
Bebeji,2024-01-01,0.6645600840400103
Bichi,2024-01-01,0.4764624770971459
Bunkure,2024-01-01,0.7310993273432514
Dala,2024-01-01,0.5393533487297922
Dambatta,2024-01-01,0.3771174361853756
Dawakin Kudu,2024-01-01,0.7676047098953722
Dawakin Tofa,2024-01-01,0.47588765371877484
Doguwa,2024-01-01,1.1380773512522127
Fagge,2024-01-01,0.623898586866168
Gabasawa,2024-01-01,0.4834724890829694
Garko,2024-01-01,0.5922737807335752
Garum Mallam,2024-01-01,0.7868017866577014
Gaya,2024-01-01,0.49225207766556106
Gezawa,2024-01-01,0.5144532237673831
Gwale,2024-01-01,0.6142163998059195
Gwarzo,2024-01-01,0.43666973730186465
Kabo,2024-01-01,0.4682123581892279
Kano,2024-01-01,0.5977401129943503
Karaye,2024-01-01,1.4409707791374844
Kibiya,2024-01-01,0.5131142980775175
Kiru,2024-01-01,0.507561040007782
Kumbotso,2024-01-01,0.4993763730423075
Kunchi,2024-01-01,0.5973130193905817
Kura,2024-01-01,1.1560958083832336
Madobi,2024-01-01,0.5070988319468989
Makoda,2024-01-01,0.5850048491071939
Minjibir,2024-01-01,0.673585062701143
Nasarawa,2024-01-01,0.589630078835658
Rano,2024-01-01,1.6459502395151042
Rimin Gado,2024-01-01,0.4329896907216495
Rogo,2024-01-01,0.41908996780278857
Shanono,2024-01-01,0.4257812212448011
Sumaila,2024-01-01,0.6008641028379468
Takai,2024-01-01,0.4566380526810913
Tarauni,2024-01-01,0.6296368989205103
Tofa,2024-01-01,0.4352377713540781
Tsanyawa,2024-01-01,0.37860493689266167
Tudun Wada,2024-01-01,1.0392174081751437
Ungogo,2024-01-01,0.5537723076923077
Warawa,2024-01-01,0.4339159203315065
Wudil,2024-01-01,0.5781663743595035
Ajingi,2024-01-11,0.3200917568443624
Albasu,2024-01-11,0.28483077000275986
Bagwai,2024-01-11,0.47308847378220914
Bebeji,2024-01-11,0.49387969489822336
Bichi,2024-01-11,0.31985795508207254
Bunkure,2024-01-11,0.6416580743359357
Dala,2024-01-11,0.4436489607390301
Dambatta,2024-01-11,0.23229531090283478
Dawakin Kudu,2024-01-11,0.6268096690609729
Dawakin Tofa,2024-01-11,0.3177042951400478
Doguwa,2024-01-11,0.816908672983125
Fagge,2024-01-11,0.5121363258520366
Gabasawa,2024-01-11,0.284010480349345
Garko,2024-01-11,0.43133061265618705
Garum Mallam,2024-01-11,0.6597425676000193
Gaya,2024-01-11,0.30942496180076773
Gezawa,2024-01-11,0.3365455120101138
Gwale,2024-01-11,0.5141193595342067
Gwarzo,2024-01-11,0.3132778501318256
Kabo,2024-01-11,0.3074861401769652
Kano,2024-01-11,0.5104302477183834
Karaye,2024-01-11,1.369681110341466
Kibiya,2024-01-11,0.37369722445447245
Kiru,2024-01-11,0.35087338975278276
Kumbotso,2024-01-11,0.38361561902062224
Kunchi,2024-01-11,0.4516587909401988
Kura,2024-01-11,1.154768862275449
Madobi,2024-01-11,0.35279082798155253
Makoda,2024-01-11,0.45591876319242397
Minjibir,2024-01-11,0.5125457773831984
Nasarawa,2024-01-11,0.4882352941176471
Rano,2024-01-11,1.5329162185941931
Rimin Gado,2024-01-11,0.27836696644000875
Rogo,2024-01-11,0.28121498375955634
Shanono,2024-01-11,0.29139828480989366
Sumaila,2024-01-11,0.3807081759662903
Takai,2024-01-11,0.27292450611476954
Tarauni,2024-01-11,0.5191364082433759
Tofa,2024-01-11,0.2919061384118347
Tsanyawa,2024-01-11,0.2284401876465989
Tudun Wada,2024-01-11,0.786383269853264
Ungogo,2024-01-11,0.43680615384615384
Warawa,2024-01-11,0.2599418526934902
Wudil,2024-01-11,0.4054919357612023
Ajingi,2024-01-21,0.2949517112983926
Albasu,2024-01-21,0.27568808490353014
Bagwai,2024-01-21,0.5205597933809839
Bebeji,2024-01-21,0.4675776076001401
Bichi,2024-01-21,0.32335052227951877
Bunkure,2024-01-21,0.6536456031816174
Dala,2024-01-21,0.4382909930715935
Dambatta,2024-01-21,0.2118357592248665
Dawakin Kudu,2024-01-21,0.6411525468201646
Dawakin Tofa,2024-01-21,0.33318271674668176
Doguwa,2024-01-21,0.6887537141896058
Fagge,2024-01-21,0.494804655029094
Gabasawa,2024-01-21,0.25477030567685593
Garko,2024-01-21,0.38163794840790005
Garum Mallam,2024-01-21,0.6540223812496998
Gaya,2024-01-21,0.28228114634964413
Gezawa,2024-01-21,0.35152338811630846
Gwale,2024-01-21,0.5125667151868025
Gwarzo,2024-01-21,0.3511578412375719
Kabo,2024-01-21,0.32863751514483974
Kano,2024-01-21,0.5279878313776619
Karaye,2024-01-21,1.4055132250699094
Kibiya,2024-01-21,0.3074241206651419
Kiru,2024-01-21,0.32562499131474
Kumbotso,2024-01-21,0.39460704414995396
Kunchi,2024-01-21,0.4422225843245886
Kura,2024-01-21,1.3181413173652696
Madobi,2024-01-21,0.36184216197577695
Makoda,2024-01-21,0.449934394432084
Minjibir,2024-01-21,0.5385195871712352
Nasarawa,2024-01-21,0.4926015767131595
Rano,2024-01-21,1.5359565939974582
Rimin Gado,2024-01-21,0.31504715946479495
Rogo,2024-01-21,0.25146447668893523
Shanono,2024-01-21,0.34180683867643274
Sumaila,2024-01-21,0.3036098138780741
Takai,2024-01-21,0.2896225305738476
Tarauni,2024-01-21,0.5115799803729146
Tofa,2024-01-21,0.3331349543728391
Tsanyawa,2024-01-21,0.2497905729922931
Tudun Wada,2024-01-21,0.6868009108453912
Ungogo,2024-01-21,0.4347815384615385
Warawa,2024-01-21,0.28199772757652725
Wudil,2024-01-21,0.3790604903882527
Ajingi,2024-02-01,0.3274589005801294
Albasu,2024-02-01,0.3199212183556214
Bagwai,2024-02-01,0.5567841912427173
Bebeji,2024-02-01,0.5031515003882283
Bichi,2024-02-01,0.3731946884267392
Bunkure,2024-02-01,0.7822236951932048
Dala,2024-02-01,0.4806466512702079
Dambatta,2024-02-01,0.25893260772542076
Dawakin Kudu,2024-02-01,0.7315490832759357
Dawakin Tofa,2024-02-01,0.3935868142024595
Doguwa,2024-02-01,0.7130194859801857
Fagge,2024-02-01,0.541812136325852
Gabasawa,2024-02-01,0.3073694323144105
Garko,2024-02-01,0.4211885328496574
Garum Mallam,2024-02-01,0.7518611017722492
Gaya,2024-02-01,0.3014068497745314
Gezawa,2024-02-01,0.39972819216182054
Gwale,2024-02-01,0.5722464822901504
Gwarzo,2024-02-01,0.38929513039611197
Kabo,2024-02-01,0.3676873370782392
Kano,2024-02-01,0.5832246849196002
Karaye,2024-02-01,1.4579183662998025
Kibiya,2024-02-01,0.32534771589293443
Kiru,2024-02-01,0.3422242603632524
Kumbotso,2024-02-01,0.4521578910070158
Kunchi,2024-02-01,0.4960241160175982
Kura,2024-02-01,1.602280239520958
Madobi,2024-02-01,0.4131632257230292
Makoda,2024-02-01,0.5089309144845684
Minjibir,2024-02-01,0.5975696371101987
Nasarawa,2024-02-01,0.5286840509399636
Rano,2024-02-01,1.5720549418320462
Rimin Gado,2024-02-01,0.3573152007019083
Rogo,2024-02-01,0.24471582769527536
Shanono,2024-02-01,0.3772700504251169
Sumaila,2024-02-01,0.3174276920687011
Takai,2024-02-01,0.3193335489181562
Tarauni,2024-02-01,0.5594210009813543
Tofa,2024-02-01,0.3498384628464547
Tsanyawa,2024-02-01,0.31183402211549205
Tudun Wada,2024-02-01,0.6999663028050362
Ungogo,2024-02-01,0.4831138461538462
Warawa,2024-02-01,0.34119435904290873
Wudil,2024-02-01,0.4508476907734104
Ajingi,2024-02-11,0.4348360178859356
Albasu,2024-02-11,0.46281957999849466
Bagwai,2024-02-11,0.6661961679380144
Bebeji,2024-02-11,0.6771021421067857
Bichi,2024-02-11,0.49710054589070857
Bunkure,2024-02-11,1.0160995728384152
Dala,2024-02-11,0.6094688221709008
Dambatta,2024-02-11,0.3760319037129818
Dawakin Kudu,2024-02-11,0.9131850831447408
Dawakin Tofa,2024-02-11,0.5148032142948833
Doguwa,2024-02-11,0.9891878038427347
Fagge,2024-02-11,0.7219451371571073
Gabasawa,2024-02-11,0.41070218340611353
Garko,2024-02-11,0.5526501410721484
Garum Mallam,2024-02-11,0.9469333845636618
Gaya,2024-02-11,0.4317798978869303
Gezawa,2024-02-11,0.49690265486725665
Gwale,2024-02-11,0.7210577389616691
Gwarzo,2024-02-11,0.47758012769607067
Kabo,2024-02-11,0.4656423247787935
Kano,2024-02-11,0.7332464146023469
Karaye,2024-02-11,1.6120321198594116
Kibiya,2024-02-11,0.47896087037151513
Kiru,2024-02-11,0.4599255152096275
Kumbotso,2024-02-11,0.5822974984054993
Kunchi,2024-02-11,0.6312139481831514
Kura,2024-02-11,1.9894323353293413
Madobi,2024-02-11,0.532446877289772
Makoda,2024-02-11,0.6361030292657882
Minjibir,2024-02-11,0.7028104538896904
Nasarawa,2024-02-11,0.6789569436021832
Rano,2024-02-11,1.7707718252028546
Rimin Gado,2024-02-11,0.4340864224610661
Rogo,2024-02-11,0.3645405160064111
Shanono,2024-02-11,0.4970370643012257
Sumaila,2024-02-11,0.4916308241987631
Takai,2024-02-11,0.4533131467544685
Tarauni,2024-02-11,0.7215897939156036
Tofa,2024-02-11,0.4204046930794083
Tsanyawa,2024-02-11,0.4673405562381325
Tudun Wada,2024-02-11,0.931479306858911
Ungogo,2024-02-11,0.6134584615384616
