fid,GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,LGA,Annual_AETI_mm
1,NGA.20.1_1,NGA,Nigeria,NGA.20_1,Kano,NA,Ajingi,NA,NA,Local Authority,Local Authority,NA,NA,Ajingi,443.4838577768913
2,NGA.20.2_1,NGA,Nigeria,NGA.20_1,Kano,NA,Albasu,NA,NA,Local Authority,Local Authority,NA,NA,Albasu,464.77250420252403
3,NGA.20.3_1,NGA,Nigeria,NGA.20_1,Kano,NA,Bagwai,NA,NA,Local Authority,Local Authority,NA,NA,Bagwai,510.85275091597094
4,NGA.20.4_1,NGA,Nigeria,NGA.20_1,Kano,NA,Bebeji,NA,NA,Local Authority,Local Authority,NA,NA,Bebeji,546.8975731924547
5,NGA.20.5_1,NGA,Nigeria,NGA.20_1,Kano,NA,Bichi,NA,NA,Local Authority,Local Authority,NA,NA,Bichi,438.3785553729624
6,NGA.20.6_1,NGA,Nigeria,NGA.20_1,Kano,NA,Bunkure,NA,NA,Local Authority,Local Authority,NA,NA,Bunkure,636.6779889036186
7,NGA.20.7_1,NGA,Nigeria,NGA.20_1,Kano,NA,Dala,NA,NA,Local Authority,Local Authority,NA,NA,Dala,295.6522401847575
8,NGA.20.8_1,NGA,Nigeria,NGA.20_1,Kano,NA,Dambatta,NA,NA,Local Authority,Local Authority,NA,NA,Dambatta,306.91842381836767
9,NGA.20.9_1,NGA,Nigeria,NGA.20_1,Kano,NA,Dawakin Kudu,NA,NA,Local Authority,Local Authority,NA,NA,Dawakin Kudu,631.0044114270721
10,NGA.20.10_1,NGA,Nigeria,NGA.20_1,Kano,NA,Dawakin Tofa,NA,NA,Local Authority,Local Authority,NA,NA,Dawakin Tofa,460.80492670278045
11,NGA.20.11_1,NGA,Nigeria,NGA.20_1,Kano,NA,Doguwa,NA,NA,Local Authority,Local Authority,NA,NA,Doguwa,670.1264370209597
12,NGA.20.12_1,NGA,Nigeria,NGA.20_1,Kano,NA,Fagge,NA,NA,Local Authority,Local Authority,NA,NA,Fagge,289.07610141313387
13,NGA.20.13_1,NGA,Nigeria,NGA.20_1,Kano,NA,Gabasawa,NA,NA,Local Authority,Local Authority,NA,NA,Gabasawa,399.7607074235808
14,NGA.20.14_1,NGA,Nigeria,NGA.20_1,Kano,NA,Garko,NA,NA,Local Authority,Local Authority,NA,NA,Garko,491.960328496574
15,NGA.20.15_1,NGA,Nigeria,NGA.20_1,Kano,NA,Garum Mallam,NA,NA,Local Authority,Local Authority,NA,NA,Garum Mallam,579.9552951347198
16,NGA.20.16_1,NGA,Nigeria,NGA.20_1,Kano,NA,Gaya,NA,NA,Local Authority,Local Authority,NA,NA,Gaya,483.1571814556703
17,NGA.20.17_1,NGA,Nigeria,NGA.20_1,Kano,NA,Gezawa,NA,NA,Local Authority,Local Authority,NA,NA,Gezawa,468.2389728192162
18,NGA.20.18_1,NGA,Nigeria,NGA.20_1,Kano,NA,Gwale,NA,NA,Local Authority,Local Authority,NA,NA,Gwale,292.9763221737021
