LGA,Annual_AETI_mm
Ajingi,443.4838577768913
Albasu,464.77250420252403
Bagwai,510.85275091597094
Bebeji,546.8975731924547
Bichi,438.3785553729624
Bunkure,636.6779889036186
Dala,295.6522401847575
Dambatta,306.91842381836767
Dawakin Kudu,631.0044114270721
Dawakin Tofa,460.80492670278045
Doguwa,670.1264370209597
Fagge,289.07610141313387
Gabasawa,399.7607074235808
Garko,491.960328496574
Garum Mallam,579.9552951347198
Gaya,483.1571814556703
Gezawa,468.2389728192162
Gwale,292.9763221737021
Gwarzo,482.6825196150059
Kabo,456.9731945515292
Kano,320.8426770969144
Karaye,765.3167038661844
Kibiya,498.9346695926315
Kiru,482.32829588249194
Kumbotso,440.08786762100493
Kunchi,432.59920482320354
Kura,852.7239425149701
Madobi,510.9716089823715
Makoda,391.1900964116607
Minjibir,518.0493868605039
Nasarawa,289.5287446937538
Rano,858.3161990419396
Rimin Gado,455.64540469401186
Rogo,435.90295306582703
Shanono,480.5258235488977
Sumaila,517.2997077584785
Takai,515.0920860771402
Tarauni,297.3412659470069
Tofa,458.2732301762739
Tsanyawa,433.3959399084106
Tudun Wada,679.0950199630353
Ungogo,379.82052923076924
Warawa,500.23114556877425
Wudil,529.0883008356546
