LGA,Annual_mean_RSM_percent
Ajingi,36.75765081907944
Albasu,36.75524181348495
Bagwai,40.38224222917178
Bebeji,41.25279357102855
Bichi,36.27271592195334
Bunkure,44.10799266990226
Dala,35.94452546442476
Dambatta,26.264232712136035
Dawakin Kudu,46.371919380048496
Dawakin Tofa,36.82509525327985
Doguwa,52.97781148872039
Fagge,41.16945845428746
Gabasawa,32.33618370178311
Garko,38.98173946428622
Garum Mallam,40.86703625421249
Gaya,37.34094975817505
Gezawa,38.06299980411136
Gwale,37.7554367684863
Gwarzo,38.3216787978954
Kabo,35.311027390814694
Kano,40.12406218534872
Karaye,47.071703598612395
Kibiya,38.46205228694567
Kiru,38.90751353193676
Kumbotso,39.75071472442389
Kunchi,33.26542243130805
Kura,49.61299127006404
Madobi,39.246536331685
Makoda,30.669003236724578
Minjibir,37.12150142772549
Nasarawa,40.268962616692676
Rano,52.332802310700416
Rimin Gado,36.732973053803356
Rogo,37.53958311109594
Shanono,40.79706377189038
Sumaila,40.807862440353574
Takai,39.90896956056117
Tarauni,39.11332444579998
Tofa,38.07774385882553
Tsanyawa,37.28303102944719
Tudun Wada,48.42299663767304
Ungogo,38.7994633079594
Warawa,40.82423284096331
Wudil,41.382886295095666
